,gray,other,PSNR,mse,ssim
57,IVUS Project/Grayscale Images/anonymus 00001_Frame_4.png,IVUS Project/Non-local Means filter + Median Filter Images/anonymus 00001_Frame_4.png,33.691152608184964,27.794898986816406,0.7974354304700823
58,IVUS Project/Grayscale Images/anonymus 00001_Frame_8.png,IVUS Project/Non-local Means filter + Median Filter Images/anonymus 00001_Frame_8.png,33.94399319716309,26.222919464111328,0.8145619331776796
59,IVUS Project/Grayscale Images/anonymus 00001_Frame_9.png,IVUS Project/Non-local Means filter + Median Filter Images/anonymus 00001_Frame_9.png,33.78560600318171,27.196922302246094,0.8054484353804696
60,IVUS Project/Grayscale Images/anonymus 00001_Frame_1.png,IVUS Project/Total Variance Filter Images/anonymus 00001_Frame_1.png,30.954689191808864,52.192901611328125,0.42132287462738444
61,IVUS Project/Grayscale Images/anonymus 00001_Frame_13.png,IVUS Project/Total Variance Filter Images/anonymus 00001_Frame_13.png,30.88347013678512,53.05585861206055,0.40358753436004485
62,IVUS Project/Grayscale Images/anonymus 00001_Frame_14.png,IVUS Project/Total Variance Filter Images/anonymus 00001_Frame_14.png,30.85565338848749,53.39677429199219,0.40334720737084934
63,IVUS Project/Grayscale Images/anonymus 00001_Frame_15.png,IVUS Project/Total Variance Filter Images/anonymus 00001_Frame_15.png,30.863215482151716,53.30387878417969,0.4020650412959676
64,IVUS Project/Grayscale Images/anonymus 00001_Frame_18.png,IVUS Project/Total Variance Filter Images/anonymus 00001_Frame_18.png,31.084645928112543,50.65423583984375,0.42366546802942967
65,IVUS Project/Grayscale Images/anonymus 00001_Frame_19.png,IVUS Project/Total Variance Filter Images/anonymus 00001_Frame_19.png,31.10799466166156,50.38263702392578,0.4231388351220889
66,IVUS Project/Grayscale Images/anonymus 00001_Frame_2.png,IVUS Project/Total Variance Filter Images/anonymus 00001_Frame_2.png,31.074031393376874,50.77819061279297,0.426558251766096
67,IVUS Project/Grayscale Images/anonymus 00001_Frame_4.png,IVUS Project/Total Variance Filter Images/anonymus 00001_Frame_4.png,30.831761682646473,53.69133377075195,0.39969946790138716
68,IVUS Project/Grayscale Images/anonymus 00001_Frame_8.png,IVUS Project/Total Variance Filter Images/anonymus 00001_Frame_8.png,30.845728888741768,53.51893615722656,0.40228321838017234
69,IVUS Project/Grayscale Images/anonymus 00001_Frame_9.png,IVUS Project/Total Variance Filter Images/anonymus 00001_Frame_9.png,30.80817745737113,53.98369598388672,0.39958562631282785
70,IVUS Project/Grayscale Images/anonymus 00001_Frame_1.png,IVUS Project/Wiener + Anisotropic Filter Images/anonymus 00001_Frame_1.png,32.56932927474118,35.98714828491211,0.21632007059078587
71,IVUS Project/Grayscale Images/anonymus 00001_Frame_13.png,IVUS Project/Wiener + Anisotropic Filter Images/anonymus 00001_Frame_13.png,32.53461229967394,36.275978088378906,0.23484324031456305
72,IVUS Project/Grayscale Images/anonymus 00001_Frame_14.png,IVUS Project/Wiener + Anisotropic Filter Images/anonymus 00001_Frame_14.png,32.38614591969067,37.53753662109375,0.22234798289384253
73,IVUS Project/Grayscale Images/anonymus 00001_Frame_15.png,IVUS Project/Wiener + Anisotropic Filter Images/anonymus 00001_Frame_15.png,32.3806436226647,37.58512496948242,0.21646688002479822
74,IVUS Project/Grayscale Images/anonymus 00001_Frame_18.png,IVUS Project/Wiener + Anisotropic Filter Images/anonymus 00001_Frame_18.png,32.45364142652867,36.95866012573242,0.20085390727950894
75,IVUS Project/Grayscale Images/anonymus 00001_Frame_19.png,IVUS Project/Wiener + Anisotropic Filter Images/anonymus 00001_Frame_19.png,32.52927910682335,36.320552825927734,0.20589253504772512
76,IVUS Project/Grayscale Images/anonymus 00001_Frame_2.png,IVUS Project/Wiener + Anisotropic Filter Images/anonymus 00001_Frame_2.png,32.704271701228784,34.88616180419922,0.22250955396185843
77,IVUS Project/Grayscale Images/anonymus 00001_Frame_4.png,IVUS Project/Wiener + Anisotropic Filter Images/anonymus 00001_Frame_4.png,32.532083864740684,36.29710388183594,0.228561836517318
78,IVUS Project/Grayscale Images/anonymus 00001_Frame_8.png,IVUS Project/Wiener + Anisotropic Filter Images/anonymus 00001_Frame_8.png,32.518150492819665,36.41374206542969,0.22656583267115424
79,IVUS Project/Grayscale Images/anonymus 00001_Frame_9.png,IVUS Project/Wiener + Anisotropic Filter Images/anonymus 00001_Frame_9.png,32.42182479613134,37.23041534423828,0.22229610461535632
80,IVUS Project/Grayscale Images/anonymus 00001_Frame_1.png,IVUS Project/Wiener Filter Images/anonymus 00001_Frame_1.png,32.60714809454723,35.67512893676758,0.21619548984612816
81,IVUS Project/Grayscale Images/anonymus 00001_Frame_13.png,IVUS Project/Wiener Filter Images/anonymus 00001_Frame_13.png,32.592407068112266,35.796424865722656,0.23513447080776181
82,IVUS Project/Grayscale Images/anonymus 00001_Frame_14.png,IVUS Project/Wiener Filter Images/anonymus 00001_Frame_14.png,32.44293051802621,37.049922943115234,0.2229292373410031
83,IVUS Project/Grayscale Images/anonymus 00001_Frame_15.png,IVUS Project/Wiener Filter Images/anonymus 00001_Frame_15.png,32.4257869798483,37.19646453857422,0.21626256555957904
84,IVUS Project/Grayscale Images/anonymus 00001_Frame_18.png,IVUS Project/Wiener Filter Images/anonymus 00001_Frame_18.png,32.49035520933539,36.64754104614258,0.2013130456742752
85,IVUS Project/Grayscale Images/anonymus 00001_Frame_19.png,IVUS Project/Wiener Filter Images/anonymus 00001_Frame_19.png,32.56125471712694,36.05411911010742,0.20562320796667852
86,IVUS Project/Grayscale Images/anonymus 00001_Frame_2.png,IVUS Project/Wiener Filter Images/anonymus 00001_Frame_2.png,32.75857655626958,34.45265579223633,0.2235201709041521
87,IVUS Project/Grayscale Images/anonymus 00001_Frame_4.png,IVUS Project/Wiener Filter Images/anonymus 00001_Frame_4.png,32.578373698312376,35.91228103637695,0.22855080857707769
88,IVUS Project/Grayscale Images/anonymus 00001_Frame_8.png,IVUS Project/Wiener Filter Images/anonymus 00001_Frame_8.png,32.583138969664034,35.87289810180664,0.22628512518811558
89,IVUS Project/Grayscale Images/anonymus 00001_Frame_9.png,IVUS Project/Wiener Filter Images/anonymus 00001_Frame_9.png,32.48314987107951,36.70839309692383,0.22239206714691304
